"Nucleus","Nucleus"
"Nucleus Info","Nucleus Info"
"User Guides","User Guides"
"ver. %s","ver. %s"
"Copyright &copy %s Nucleus Commerce, LLC","Copyright &copy %s Nucleus Commerce, LLC"
"Manage Your Site","Manage Your Site"
"Magento User Guide","Magento User Guide"
"Learn the core Magento features","Learn the core Magento features"
"Nucleus User Guide","Nucleus User Guide"
"Documentation for Nucleus enhanced features","Documentation for Nucleus enhanced features"
"Log into your %s account to access the Enterprise User Guide","Log into your %s account to access the Enterprise User Guide"
"Need Help?","Need Help?"
"If you need support for Nucleus features, or if you're ready to take your site to the next level with custom features, we're ready to assist.","If you need support for Nucleus features, or if you're ready to take your site to the next level with custom features, we're ready to assist."
"Sub-categories only","Sub-categories only"
"Static block and sub-categories","Static block and sub-categories"
"Sub-categories and products","Sub-categories and products"
"Static block, sub-categories and products","Static block, sub-categories and products"
"Website:","Website:"
"Phone: %s", "Phone: %s"
"Mega Menu", "Mega Menu"
"Enable Mega Menu", "Enable Mega Menu"
"Nucleus Mega Menu", "Nucleus Mega Menu"
"Checkout/Order","Checkout/Order"
"Lead Time Notice on Order Success Page","Lead Time Notice on Order Success Page"
"You should expect to receive an update on the status of your order soon.","You should expect to receive an update on the status of your order soon."
"Shipping and Returns Policy","Shipping and Returns Policy"
"Promo Area","Promo Area"
"Review our <a id=\"policy-link\" href=\"%s\">shipping and returns policy</a>","Review our <a id=\"policy-link\" href=\"%s\">shipping and returns policy</a>"
"Order Summary","Order Summary"