"Category","Category"
"CMS","CMS"
"Customer Account","Customer Account"
"English","English"
"German","German"
"French","French"
"Spanish","Spanish"
"Italian","Italian"
"Japanese","Japanese"
"Danish","Danish"
"Dutch","Dutch"
"Finnish","Finnish"
"Korean","Korean"
"Norwegian","Norwegian"
"Portuguese","Portuguese"
"Swedish","Swedish"
"Chinese (simplified)","Chinese (simplified)"
"Chinese (traditional)","Chinese (traditional)"
"Arabic","Arabic"
"Bulgarian","Bulgarian"
"Czech","Czech"
"Greek","Greek"
"Hindi","Hindi"
"Hungarian","Hungarian"
"Indonesian","Indonesian"
"Icelandic","Icelandic"
"Hebrew","Hebrew"
"Latvian","Latvian"
"Lithuanian","Lithuanian"
"Polish","Polish"
"Russian","Russian"
"Romanian","Romanian"
"Slovak","Slovak"
"Slovenian","Slovenian"
"Serbian","Serbian"
"Ukrainian","Ukrainian"
"Turkish","Turkish"
"Catalan","Catalan"
"Croatian","Croatian"
"Vietnamese","Vietnamese"
"Urdu","Urdu"
"Filipino","Filipino"
"Estonian","Estonian"
"Thai","Thai"
"Analytics Account Type","Analytics Account Type"
"Universal Analytics","Universal Analytics"
"Universal Analytics Options","Universal Analytics Options"
"Conversion Enabled","Conversion Enabled"
"Conversion ID","Conversion ID"
"Conversion Label","Conversion Label"
"Conversion Language","Conversion Language"
"Currency Convert Enabled","Currency Convert Enabled"
"Customer Group dimension index","Customer Group dimension index"
"New Currency","New Currency"
"Order Count dimension index","Order Count dimension index"
"Page type dimension index","Page type dimension index"
"Product Attribute dimension index","Product Attribute dimension index"
"Product Attribute","Product Attribute"